Name;Median Household Income;90% CI Lower Bound;90% CI Upper Bound
Parke County;42.056;37.793;46.319
Perry County;44.623;40.920;48.326
Pike County;47.217;42.486;51.948
Porter County;63.030;59.114;66.946
Posey County;59.975;54.485;65.465
Pulaski County;43.770;39.904;47.636
Putnam County;49.467;45.508;53.426
Randolph County;41.577;37.961;45.193
Ripley County;52.491;48.202;56.780
Rush County;47.418;42.371;52.465
St. Joseph County;46.388;44.340;48.436
Scott County;41.649;37.831;45.467
Shelby County;54.831;51.365;58.297
Spencer County;54.468;49.422;59.514
Starke County;43.740;40.815;46.665
Steuben County;50.078;46.851;53.305
Sullivan County;43.933;39.756;48.110
Switzerland County;47.606;43.808;51.404
Tippecanoe County;46.276;43.974;48.578
Tipton County;55.008;49.983;60.033
Union County;47.410;42.643;52.177
Vanderburgh County;42.622;40.688;44.556
Vermillion County;44.388;41.667;47.109
Vigo County;41.260;39.272;43.248
Wabash County;45.151;41.494;48.808
Warren County;55.925;50.482;61.368
Warrick County;65.793;60.456;71.130
Washington County;43.573;40.335;46.811
Wayne County;40.929;39.068;42.790
Wells County;51.182;47.073;55.291
White County;50.731;47.384;54.078
Whitley County;59.266;56.923;61.609
Iowa;53.816;53.087;54.545
Adair County;48.216;44.519;51.913
Adams County;51.929;49.405;54.453
Allamakee County;45.229;41.009;49.449
Appanoose County;40.422;37.768;43.076
Audubon County;50.014;44.992;55.036
Benton County;61.931;57.713;66.149
Black Hawk County;51.331;48.926;53.736
Boone County;54.186;49.832;58.540
Bremer County;62.438;57.396;67.480
Buchanan County;55.781;50.642;60.920
Buena Vista County;50.719;47.206;54.232
Butler County;52.273;47.976;56.570
Calhoun County;49.456;44.707;54.205
Carroll County;52.367;47.335;57.399
Cass County;46.159;42.561;49.757
Cedar County;61.423;57.974;64.872
Cerro Gordo County;49.569;45.427;53.711
Cherokee County;52.894;47.745;58.043
Chickasaw County;50.788;47.051;54.525
Clarke County;45.413;40.817;50.009
Clay County;51.514;46.365;56.663
Clayton County;49.018;45.596;52.440
Clinton County;48.528;44.082;52.974
Crawford County;50.370;47.182;53.558
Dallas County;79.173;73.543;84.803
Davis County;46.750;42.603;50.897
Decatur County;36.742;32.902;40.582
Delaware County;55.958;50.285;61.631
Des Moines County;45.292;41.835;48.749
Dickinson County;56.551;52.618;60.484
Dubuque County;55.320;51.847;58.793
Emmet County;47.342;42.691;51.993
Fayette County;45.522;42.384;48.660
Floyd County;48.292;43.306;53.278
Franklin County;51.045;46.508;55.582
Fremont County;54.154;48.876;59.432
Greene County;49.125;44.490;53.760
Grundy County;61.215;55.567;66.863
Guthrie County;49.507;44.957;54.057
Hamilton County;53.691;50.487;56.895
Hancock County;57.682;53.658;61.706
Hardin County;53.277;49.638;56.916
Harrison County;52.824;48.266;57.382
Henry County;50.347;46.117;54.577
Howard County;49.837;45.556;54.118
Humboldt County;49.696;44.672;54.720
Ida County;53.905;48.815;58.995
Iowa County;58.234;52.935;63.533
Jackson County;50.299;46.993;53.605
Jasper County;52.750;48.464;57.036
Jefferson County;41.094;36.776;45.412
Johnson County;59.946;55.972;63.920
Jones County;51.558;47.573;55.543
Keokuk County;48.316;43.514;53.118
Kossuth County;52.967;47.903;58.031
Lee County;44.719;40.825;48.613
Linn County;62.700;60.108;65.292
Louisa County;50.924;46.947;54.901
Lucas County;42.582;38.610;46.554
Lyon County;61.750;57.017;66.483
Madison County;62.230;57.291;67.169
Mahaska County;48.584;44.316;52.852
Marion County;57.046;52.615;61.477
Marshall County;50.244;47.752;52.736
Mills County;59.399;54.700;64.098
Mitchell County;52.616;47.682;57.550
Monona County;43.178;38.990;47.366
Monroe County;44.705;40.715;48.695
Montgomery County;42.046;37.928;46.164
Muscatine County;54.441;50.805;58.077
O'Brien County;55.968;52.137;59.799
Osceola County;51.423;46.116;56.730
Page County;46.927;42.571;51.283
Palo Alto County;50.600;45.601;55.599
Plymouth County;62.745;56.664;68.826
Pocahontas County;49.625;45.131;54.119
Polk County;61.028;59.337;62.719
Pottawattamie County;51.947;47.943;55.951
Poweshiek County;52.791;47.708;57.874
Ringgold County;42.854;38.850;46.858
Sac County;49.513;47.176;51.850
Scott County;54.959;52.796;57.122
Shelby County;55.637;49.922;61.352
Sioux County;60.205;56.981;63.429
Story County;52.128;47.492;56.764
Tama County;54.957;51.909;58.005
Taylor County;46.501;42.228;50.774
Union County;44.905;41.841;47.969
Van Buren County;42.555;38.411;46.699
Wapello County;42.414;39.178;45.650
Warren County;67.342;62.602;72.082
Washington County;56.243;52.392;60.094
Wayne County;42.006;38.169;45.843
Webster County;43.490;40.577;46.403
Winnebago County;50.703;46.152;55.254
Winneshiek County;55.984;52.028;59.940
Woodbury County;45.641;42.823;48.459
Worth County;50.286;45.364;55.208
Wright County;50.108;44.940;55.276
Kansas;52.392;51.712;53.072
Allen County;39.196;35.663;42.729
Anderson County;45.368;40.732;50.004
Atchison County;44.199;39.663;48.735
Barber County;51.676;46.516;56.836
Barton County;46.942;42.490;51.394
Bourbon County;38.430;34.538;42.322
Brown County;45.781;42.026;49.536
Butler County;60.123;55.660;64.586
Chase County;47.025;41.986;52.064
Chautauqua County;39.120;35.082;43.158
Cherokee County;40.686;37.990;43.382
Cheyenne County;41.797;37.642;45.952
Clark County;47.650;42.576;52.724
Clay County;53.131;48.918;57.344
Cloud County;42.697;38.794;46.600
Coffey County;55.705;50.037;61.373
Comanche County;45.353;40.654;50.052
Cowley County;45.180;41.483;48.877
Crawford County;38.491;35.365;41.617
Decatur County;41.434;37.167;45.701
Dickinson County;47.493;43.163;51.823
Doniphan County;47.599;42.877;52.321
Douglas County;49.246;46.181;52.311
Edwards County;49.256;45.554;52.958
Elk County;36.471;32.803;40.139
Ellis County;49.508;44.906;54.110
Ellsworth County;46.961;42.209;51.713
Finney County;48.609;44.756;52.462
Ford County;51.144;46.358;55.930
Franklin County;50.745;47.076;54.414
Geary County;41.193;38.359;44.027
Gove County;50.886;47.686;54.086
Graham County;45.341;40.576;50.106
Grant County;60.279;55.456;65.102
Gray County;58.543;53.025;64.061
Greeley County;52.795;47.352;58.238
Greenwood County;39.732;35.766;43.698
Hamilton County;47.709;42.995;52.423
Harper County;50.525;46.734;54.316
Harvey County;55.074;50.212;59.936
Haskell County;59.596;54.017;65.175
Hodgeman County;52.394;47.098;57.690
Jackson County;53.796;49.175;58.417
Jefferson County;56.927;52.980;60.874
Jewell County;44.101;39.911;48.291
Johnson County;76.104;73.905;78.303
Kearny County;53.484;48.498;58.470
Kingman County;53.378;48.508;58.248
Kiowa County;46.318;41.773;50.863
Labette County;40.822;37.782;43.862
Lane County;53.739;47.997;59.481
Leavenworth County;65.549;61.607;69.491
Lincoln County;44.896;40.379;49.413
Linn County;44.520;39.901;49.139
Logan County;49.852;44.586;55.118
Lyon County;43.038;40.201;45.875
McPherson County;57.878;53.577;62.179
Marion County;47.723;43.195;52.251
Marshall County;47.901;43.386;52.416
Meade County;53.903;48.125;59.681
Miami County;63.924;59.020;68.828
Mitchell County;48.645;43.481;53.809
Montgomery County;42.221;39.295;45.147
Morris County;44.774;40.340;49.208
Morton County;55.378;49.473;61.283
Nemaha County;54.149;49.133;59.165
Neosho County;41.527;38.490;44.564
Ness County;51.923;46.581;57.265
Norton County;44.846;40.404;49.288
Osage County;52.749;49.794;55.704
Osborne County;38.848;35.791;41.905
Ottawa County;52.744;47.518;57.970
Pawnee County;47.351;42.297;52.405
Phillips County;45.856;41.534;50.178
Pottawatomie County;65.373;62.649;68.097
Pratt County;54.701;49.886;59.516
Rawlins County;44.932;40.398;49.466
Reno County;46.533;43.389;49.677
Republic County;42.381;38.071;46.691
Rice County;49.152;44.250;54.054
Riley County;46.468;42.736;50.200
Rooks County;48.383;45.192;51.574
Rush County;43.083;38.745;47.421
Russell County;45.443;41.923;48.963
Saline County;48.460;46.508;50.412
Scott County;56.032;50.226;61.838
Sedgwick County;51.175;49.544;52.806
Seward County;47.381;43.424;51.338
Shawnee County;52.795;49.968;55.622
Sheridan County;52.300;47.158;57.442
Sherman County;43.100;38.770;47.430
Smith County;41.303;37.287;45.319
Stafford County;45.945;41.525;50.365
Stanton County;56.591;50.490;62.692
Stevens County;59.773;53.657;65.889
Sumner County;52.476;47.869;57.083
Thomas County;50.639;45.268;56.010
Trego County;46.859;42.384;51.334
Wabaunsee County;59.160;53.368;64.952
Wallace County;49.109;43.849;54.369
Washington County;43.264;39.940;46.588
Wichita County;53.447;47.744;59.150
Wilson County;39.764;36.022;43.506
Woodson County;35.502;31.865;39.139
Wyandotte County;37.087;35.495;38.679
Kentucky;42.914;42.243;43.585
Adair County;31.558;28.365;34.751
Allen County;39.801;35.745;43.857
Anderson County;54.331;49.557;59.105
Ballard County;44.732;40.900;48.564
Barren County;37.666;35.141;40.191
Bath County;34.126;30.979;37.273
Bell County;24.868;22.522;27.214
Boone County;66.939;62.353;71.525
Bourbon County;42.812;39.481;46.143
Boyd County;40.224;37.466;42.982
Boyle County;41.538;37.818;45.258
Bracken County;41.910;37.565;46.255
Breathitt County;28.647;25.943;31.351
Breckinridge County;41.547;37.581;45.513
Bullitt County;54.924;51.662;58.186
Butler County;35.219;32.926;37.512
Caldwell County;42.640;39.208;46.072
Calloway County;37.705;34.805;40.605
Campbell County;52.349;48.664;56.034
Carlisle County;40.701;37.043;44.359
Carroll County;43.615;39.028;48.202
Carter County;34.991;32.222;37.760
Casey County;29.344;26.331;32.357
Christian County;36.736;34.427;39.045
Clark County;49.012;45.830;52.194
Clay County;25.215;22.832;27.598
Clinton County;28.341;25.335;31.347
Crittenden County;38.338;34.371;42.305
Cumberland County;29.067;26.024;32.110
Daviess County;43.390;40.519;46.261
Edmonson County;38.544;35.105;41.983
Elliott County;30.556;27.524;33.588
Estill County;30.333;27.145;33.521
Fayette County;48.552;45.941;51.163
Fleming County;35.878;32.291;39.465
Floyd County;30.127;27.456;32.798
Franklin County;49.400;45.376;53.424
Fulton County;30.671;27.399;33.943
Gallatin County;45.483;41.404;49.562
Garrard County;43.647;39.998;47.296
Grant County;46.226;42.209;50.243
Graves County;39.247;37.151;41.343
Grayson County;35.726;32.180;39.272
Green County;33.640;30.073;37.207
Greenup County;42.452;39.829;45.075
Hancock County;50.358;45.283;55.433
Hardin County;50.407;46.978;53.836
Harlan County;26.351;24.004;28.698
Harrison County;41.406;37.570;45.242
Hart County;38.038;35.465;40.611
Henderson County;43.040;39.721;46.359
Henry County;43.799;39.791;47.807
Hickman County;41.588;37.204;45.972
Hopkins County;42.477;39.695;45.259
Jackson County;29.090;26.113;32.067
Jefferson County;48.264;46.792;49.736
Jessamine County;51.227;47.049;55.405
Johnson County;34.271;30.792;37.750
Kenton County;54.728;51.029;58.427
Knott County;27.709;24.991;30.427
Knox County;26.048;23.747;28.349
Larue County;40.312;36.301;44.323
Laurel County;34.678;31.744;37.612
Lawrence County;32.835;29.536;36.134
Lee County;25.473;22.908;28.038
Leslie County;27.777;24.815;30.739
Letcher County;28.574;25.976;31.172
Lewis County;30.217;27.018;33.416
Lincoln County;35.368;32.008;38.728
Livingston County;42.892;38.391;47.393
Logan County;41.150;38.052;44.248
Lyon County;43.067;39.324;46.810
McCracken County;41.216;37.433;44.999
McCreary County;24.265;21.704;26.826
McLean County;42.288;38.153;46.423
Madison County;44.358;40.358;48.358
Magoffin County;29.421;26.294;32.548
Marion County;39.089;35.073;43.105
Marshall County;45.596;41.679;49.513
Martin County;27.484;24.519;30.449
Mason County;40.260;36.050;44.470
Meade County;52.377;48.392;56.362
Menifee County;30.828;27.618;34.038
Mercer County;43.945;39.969;47.921
Metcalfe County;30.460;27.362;33.558
Monroe County;30.172;27.098;33.246
Montgomery County;41.139;36.899;45.379
Morgan County;30.872;27.662;34.082
Muhlenberg County;38.916;35.702;42.130
Nelson County;54.540;51.405;57.675
Nicholas County;37.061;33.147;40.975
Ohio County;38.261;34.643;41.879
Oldham County;92.097;87.722;96.472
Owen County;43.626;39.410;47.842
Owsley County;23.047;20.554;25.540
Pendleton County;47.023;42.222;51.824
Perry County;31.265;28.009;34.521
Pike County;32.666;30.344;34.988
Powell County;32.783;29.448;36.118
Pulaski County;32.767;30.550;34.984
Robertson County;37.281;33.267;41.295
Rockcastle County;33.789;30.650;36.928
Rowan County;37.287;33.544;41.030
Russell County;33.623;31.411;35.835
Scott County;61.989;57.808;66.170
Shelby County;57.447;52.865;62.029
Simpson County;45.269;41.060;49.478
Spencer County;67.437;60.600;74.274
Taylor County;34.633;31.156;38.110
Todd County;40.002;35.840;44.164
Trigg County;44.676;40.398;48.954
Trimble County;46.708;41.732;51.684
Union County;44.119;39.965;48.273
Warren County;48.925;46.093;51.757
Washington County;39.983;35.868;44.098
Wayne County;30.619;28.401;32.837
Webster County;43.024;38.913;47.135
Whitley County;31.086;28.369;33.803
Wolfe County;25.768;23.040;28.496
Woodford County;57.067;52.462;61.672
Louisiana;44.680;43.971;45.389
Acadia Parish;40.269;36.378;44.160
Allen Parish;36.852;34.825;38.879
Ascension Parish;67.299;62.671;71.927
Assumption Parish;46.317;42.592;50.042
Avoyelles Parish;34.022;30.779;37.265
Beauregard Parish;43.918;39.865;47.971
Bienville Parish;33.134;29.999;36.269
Bossier Parish;51.138;48.439;53.837
Caddo Parish;39.812;36.936;42.688
Calcasieu Parish;45.979;43.355;48.603
Caldwell Parish;36.350;32.600;40.100
Cameron Parish;59.300;55.359;63.241
Catahoula Parish;34.116;30.742;37.490
Claiborne Parish;35.385;31.871;38.899
Concordia Parish;31.835;28.573;35.097
De Soto Parish;40.642;37.620;43.664
East Baton Rouge Parish;46.831;44.520;49.142
East Carroll Parish;25.402;22.922;27.882
East Feliciana Parish;41.651;37.428;45.874
Evangeline Parish;32.615;29.494;35.736
Franklin Parish;32.318;29.180;35.456
Grant Parish;40.668;36.710;44.626
Iberia Parish;45.226;42.503;47.949
Iberville Parish;47.377;44.130;50.624
Jackson Parish;37.130;33.219;41.041
Jefferson Parish;47.024;45.245;48.803
Jefferson Davis Parish;37.968;34.664;41.272
Lafayette Parish;51.340;49.439;53.241
Lafourche Parish;47.382;43.328;51.436
La Salle Parish;44.139;39.431;48.847
Lincoln Parish;32.889;30.777;35.001
Livingston Parish;58.818;55.134;62.502
Madison Parish;26.732;23.998;29.466
Morehouse Parish;30.636;28.099;33.173
Natchitoches Parish;34.522;31.117;37.927
Orleans Parish;35.468;33.961;36.975
Ouachita Parish;40.877;38.673;43.081
Plaquemines Parish;51.304;46.315;56.293
Pointe Coupee Parish;44.469;40.287;48.651
Rapides Parish;40.406;37.704;43.108
Red River Parish;33.322;29.842;36.802
Richland Parish;36.666;33.773;39.559
Sabine Parish;39.561;35.777;43.345
St. Bernard Parish;45.615;43.076;48.154
St. Charles Parish;60.751;55.245;66.257
St. Helena Parish;35.004;31.366;38.642
St. James Parish;47.477;43.084;51.870
St. John the Baptist Parish;47.225;43.540;50.910
St. Landry Parish;32.683;29.524;35.842
St. Martin Parish;46.713;43.457;49.969
St. Mary Parish;42.075;38.810;45.340
St. Tammany Parish;63.441;59.998;66.884
Tangipahoa Parish;39.927;36.949;42.905
Tensas Parish;27.522;24.585;30.459
Terrebonne Parish;49.044;45.060;53.028
Union Parish;38.998;35.137;42.859
Vermilion Parish;45.331;41.397;49.265
Vernon Parish;46.682;44.685;48.679
Washington Parish;29.749;26.960;32.538
Webster Parish;36.003;32.666;39.340
West Baton Rouge Parish;51.550;46.535;56.565
West Carroll Parish;33.959;30.401;37.517
West Feliciana Parish;53.679;48.045;59.313
Winn Parish;36.644;32.744;40.544
Maine;49.381;48.366;50.396
Androscoggin County;46.701;43.816;49.586
Aroostook County;36.066;34.092;38.040
Cumberland County;61.436;59.325;63.547
Franklin County;41.035;37.899;44.171
Hancock County;45.807;42.883;48.731
Kennebec County;45.556;42.074;49.038
Knox County;50.002;47.164;52.840
Lincoln County;47.905;44.250;51.560
Oxford County;40.120;36.871;43.369
Penobscot County;42.728;40.211;45.245
Piscataquis County;36.994;34.437;39.551
Sagadahoc County;55.630;50.699;60.561
Somerset County;39.001;35.891;42.111
Waldo County;46.598;44.204;48.992
Washington County;38.057;35.900;40.214
York County;55.482;52.858;58.106
Maryland;73.851;73.027;74.675
Allegany County;39.808;37.428;42.188
Anne Arundel County;86.654;84.007;89.301
Baltimore County;67.766;65.505;70.027
Calvert County;92.446;86.195;98.697
Caroline County;49.573;46.577;52.569
Carroll County;84.500;81.375;87.625
Cecil County;62.198;59.010;65.386
Charles County;86.703;82.327;91.079
Dorchester County;42.279;38.187;46.371
Frederick County;83.698;80.759;86.637
Garrett County;47.441;44.532;50.350
Harford County;79.403;76.922;81.884
Howard County;106.871;101.405;112.337
Kent County;53.288;48.364;58.212
Montgomery County;97.279;95.056;99.502
Prince George's County;71.904;70.457;73.351
Queen Anne's County;80.650;75.363;85.937
St. Mary's County;84.686;80.795;88.577
Somerset County;38.376;35.418;41.334
Talbot County;54.836;50.528;59.144
Washington County;54.606;51.653;57.559
Wicomico County;51.927;49.693;54.161
Worcester County;55.691;52.438;58.944
Baltimore city;41.895;40.097;43.693
Massachusetts;69.200;68.303;70.097
Barnstable County;64.150;61.187;67.113
Berkshire County;49.890;46.940;52.840
Bristol County;57.732;55.656;59.808
Dukes County;61.259;54.940;67.578
Essex County;70.074;68.522;71.626
Franklin County;53.953;50.412;57.494
Hampden County;49.072;47.009;51.135
Hampshire County;57.737;53.688;61.786
Middlesex County;84.026;81.707;86.345
Nantucket County;82.596;75.718;89.474
Norfolk County;90.039;87.658;92.420
Plymouth County;74.576;72.340;76.812
Suffolk County;54.280;52.553;56.007
Worcester County;65.217;63.662;66.772
Michigan;49.755;49.373;50.137
Alcona County;36.377;33.824;38.930
Alger County;45.308;41.564;49.052
Allegan County;54.232;50.699;57.765
Alpena County;38.121;35.032;41.210
Antrim County;45.743;42.747;48.739
Arenac County;36.460;33.314;39.606
Baraga County;41.624;37.923;45.325
Barry County;57.235;53.470;61.000
Bay County;46.061;43.483;48.639
Benzie County;48.846;45.481;52.211
Berrien County;44.145;42.011;46.279
Branch County;46.371;43.610;49.132
Calhoun County;45.916;43.791;48.041
Cass County;48.030;45.236;50.824
Charlevoix County;47.991;44.050;51.932
Cheboygan County;41.930;39.165;44.695
Chippewa County;38.989;36.359;41.619
Clare County;34.655;32.248;37.062
Clinton County;60.650;56.647;64.653
Crawford County;41.101;37.652;44.550
Delta County;43.338;39.883;46.793
Dickinson County;45.174;41.665;48.683
Eaton County;57.088;54.890;59.286
Emmet County;50.191;46.448;53.934
Genesee County;41.787;40.585;42.989
Gladwin County;39.721;37.237;42.205
Gogebic County;33.600;30.609;36.591
Grand Traverse County;55.592;52.290;58.894
Gratiot County;43.509;39.900;47.118
Hillsdale County;44.780;41.515;48.045
Houghton County;39.126;35.830;42.422
Huron County;41.678;39.439;43.917
Ingham County;45.840;44.125;47.555
Ionia County;48.681;45.531;51.831
Iosco County;37.122;34.908;39.336
Iron County;35.961;32.960;38.962
Isabella County;42.431;39.593;45.269
Jackson County;46.670;43.293;50.047
Kalamazoo County;46.283;43.742;48.824
Kalkaska County;40.709;38.140;43.278
Kent County;53.342;51.965;54.719
Keweenaw County;40.411;36.083;44.739
Lake County;30.990;28.264;33.716
Lapeer County;51.510;49.268;53.752
Leelanau County;60.622;56.547;64.697
Lenawee County;48.194;44.829;51.559
Livingston County;74.341;71.731;76.951
Luce County;37.590;33.879;41.301
Mackinac County;39.359;36.293;42.425
Macomb County;54.865;53.426;56.304
Manistee County;37.477;34.490;40.464
Marquette County;44.735;42.147;47.323
Mason County;42.896;40.503;45.289
Mecosta County;41.572;38.613;44.531
Menominee County;42.191;38.529;45.853
Midland County;51.629;48.225;55.033
Missaukee County;40.455;38.092;42.818
Monroe County;57.719;54.957;60.481
Montcalm County;41.554;39.317;43.791
Montmorency County;37.961;35.611;40.311
Muskegon County;42.588;40.969;44.207
Newaygo County;41.588;38.332;44.844
Oakland County;69.378;67.834;70.922
Oceana County;41.166;39.348;42.984
Ogemaw County;35.968;33.561;38.375
Ontonagon County;35.387;32.633;38.141
Osceola County;40.235;38.065;42.405
Oscoda County;33.975;30.703;37.247
Otsego County;44.693;41.106;48.280
Ottawa County;60.577;58.638;62.516
Presque Isle County;39.420;36.418;42.422
Roscommon County;35.002;31.874;38.130
Saginaw County;44.548;42.964;46.132
St. Clair County;50.303;48.300;52.306
St. Joseph County;43.687;42.002;45.372
Sanilac County;42.081;39.898;44.264
Schoolcraft County;39.539;35.698;43.380
Shiawassee County;47.882;44.790;50.974
Tuscola County;43.186;40.363;46.009
Van Buren County;46.715;43.562;49.868
Washtenaw County;62.861;60.785;64.937
Wayne County;41.434;40.770;42.098
Wexford County;39.807;36.811;42.803
Minnesota;61.473;61.010;61.936
Aitkin County;40.676;37.647;43.705
Anoka County;70.868;68.885;72.851
Becker County;51.116;48.338;53.894
Beltrami County;43.706;40.801;46.611
Benton County;52.531;48.263;56.799
Big Stone County;46.495;42.292;50.698
Blue Earth County;49.513;45.980;53.046
Brown County;52.272;48.496;56.048
Carlton County;53.291;49.850;56.732
Carver County;88.500;81.930;95.070
Cass County;45.179;42.979;47.379
Chippewa County;51.274;46.143;56.405
Chisago County;75.122;71.846;78.398
Clay County;55.560;51.357;59.763
Clearwater County;43.674;40.488;46.860
Cook County;48.593;43.934;53.252
Cottonwood County;48.176;44.190;52.162
Crow Wing County;50.162;48.041;52.283
Dakota County;76.269;74.590;77.948
Dodge County;68.777;64.399;73.155
Douglas County;52.298;49.030;55.566
Faribault County;48.163;45.168;51.158
Fillmore County;52.444;49.130;55.758
Freeborn County;47.203;43.573;50.833
Goodhue County;60.869;55.876;65.862
Grant County;48.179;43.661;52.697
Hennepin County;64.490;62.862;66.118
Houston County;59.900;56.998;62.802
Hubbard County;47.944;44.516;51.372
Isanti County;65.342;61.212;69.472
Itasca County;48.525;45.351;51.699
Jackson County;53.700;48.884;58.516
Kanabec County;48.908;45.953;51.863
Kandiyohi County;57.405;54.562;60.248
Kittson County;50.372;45.982;54.762
Koochiching County;44.113;40.199;48.027
Lac qui Parle County;48.245;43.871;52.619
Lake County;52.381;47.557;57.205
Lake of the Woods County;44.727;40.200;49.254
Le Sueur County;61.665;59.235;64.095
Lincoln County;48.449;44.607;52.291
Lyon County;53.552;49.176;57.928
McLeod County;60.114;57.012;63.216
Mahnomen County;39.926;36.555;43.297
Marshall County;54.433;51.000;57.866
Martin County;52.042;48.319;55.765
Meeker County;54.354;51.565;57.143
Mille Lacs County;48.434;45.142;51.726
Morrison County;50.685;48.144;53.226
Mower County;47.537;43.276;51.798
Murray County;52.219;49.256;55.182
Nicollet County;61.279;56.443;66.115
Nobles County;50.684;47.710;53.658
Norman County;51.597;48.170;55.024
Olmsted County;69.430;64.999;73.861
Otter Tail County;51.510;49.136;53.884
Pennington County;50.905;46.639;55.171
Pine County;42.157;40.107;44.207
Pipestone County;47.164;43.630;50.698
Polk County;50.175;46.757;53.593
Pope County;51.343;47.279;55.407
Ramsey County;55.070;53.404;56.736
Red Lake County;48.188;43.673;52.703
Redwood County;49.934;45.940;53.928
Renville County;54.386;50.247;58.525
Rice County;60.317;57.177;63.457
Rock County;55.352;50.258;60.446
Roseau County;53.838;49.652;58.024
St. Louis County;49.714;47.569;51.859
Scott County;91.688;85.807;97.569
Sherburne County;76.512;71.008;82.016
Sibley County;59.893;56.585;63.201
Stearns County;55.832;53.614;58.050
Steele County;57.850;52.521;63.179
Stevens County;55.292;50.354;60.230
Swift County;51.032;46.272;55.792
Todd County;43.287;40.470;46.104
Traverse County;49.536;46.053;53.019
Wabasha County;58.752;55.176;62.328
Wadena County;41.909;38.667;45.151
Waseca County;54.183;49.539;58.827
Washington County;84.113;80.265;87.961
Watonwan County;48.658;44.632;52.684
Wilkin County;54.536;49.054;60.018
Winona County;49.365;46.124;52.606
Wright County;76.489;72.483;80.495
Yellow Medicine County;51.028;47.867;54.189
Mississippi;39.738;38.998;40.478
Adams County;32.327;29.209;35.445
Alcorn County;35.180;31.741;38.619
Amite County;30.668;27.988;33.348
Attala County;32.521;29.767;35.275
Benton County;30.665;27.490;33.840
Bolivar County;29.297;26.767;31.827
Calhoun County;33.141;29.834;36.448
Carroll County;38.219;34.703;41.735
Chickasaw County;31.616;28.399;34.833
Choctaw County;34.548;31.115;37.981
Claiborne County;26.083;23.299;28.867
Clarke County;34.910;31.493;38.327
Clay County;33.939;30.887;36.991
Coahoma County;28.647;26.187;31.107
Copiah County;35.314;32.367;38.261
Covington County;31.835;29.049;34.621
DeSoto County;58.479;55.541;61.417
Forrest County;36.808;34.296;39.320
Franklin County;36.544;32.912;40.176
George County;44.811;40.860;48.762
Greene County;39.615;35.404;43.826
Grenada County;33.650;30.882;36.418
Hancock County;46.288;42.700;49.876
Harrison County;41.010;39.028;42.992
Hinds County;38.454;36.594;40.314
Holmes County;22.640;20.570;24.710
Humphreys County;25.562;23.185;27.939
Issaquena County;37.096;34.040;40.152
Itawamba County;38.366;34.813;41.919
Jackson County;48.018;45.115;50.921
Jasper County;35.019;31.568;38.470
Jefferson County;26.408;23.564;29.252
Jefferson Davis County;28.271;25.344;31.198
Jones County;37.367;33.881;40.853
Kemper County;33.015;29.718;36.312
Lafayette County;40.797;36.867;44.727
Lamar County;51.389;47.320;55.458
Lauderdale County;38.869;35.195;42.543
Lawrence County;38.471;34.502;42.440
Leake County;32.239;29.966;34.512
Lee County;43.374;40.784;45.964
Leflore County;26.439;23.889;28.989
Lincoln County;36.118;33.179;39.057
Lowndes County;39.937;37.265;42.609
Madison County;66.671;61.895;71.447
Marion County;33.428;30.284;36.572
Marshall County;37.554;34.360;40.748
Monroe County;36.810;33.238;40.382
Montgomery County;31.963;28.675;35.251
Neshoba County;37.686;33.897;41.475
Newton County;35.185;31.763;38.607
Noxubee County;28.730;25.870;31.590
Oktibbeha County;34.429;31.215;37.643
Panola County;34.526;31.328;37.724
Pearl River County;38.465;34.941;41.989
Perry County;32.459;29.353;35.565
Pike County;30.078;26.995;33.161
Pontotoc County;40.198;36.355;44.041
Prentiss County;34.794;31.392;38.196
Quitman County;26.204;23.587;28.821
Rankin County;58.368;54.744;61.992
Scott County;32.049;28.969;35.129
Sharkey County;27.877;24.996;30.758
Simpson County;34.338;31.044;37.632
Smith County;38.975;35.018;42.932
Stone County;41.136;37.241;45.031
Sunflower County;29.227;26.592;31.862
Tallahatchie County;28.456;25.784;31.128
Tate County;40.975;37.889;44.061
Tippah County;37.026;33.437;40.615
Tishomingo County;35.550;32.533;38.567
Tunica County;30.689;27.400;33.978
Union County;37.667;34.111;41.223
Walthall County;31.607;28.425;34.789
Warren County;40.397;36.737;44.057
Washington County;30.292;28.299;32.285
Wayne County;35.425;31.737;39.113
Webster County;34.073;31.064;37.082
Wilkinson County;27.596;24.690;30.502
Winston County;34.403;31.040;37.766
Yalobusha County;34.494;30.981;38.007
Yazoo County;30.313;27.857;32.769
Missouri;48.288;47.734;48.842
Adair County;35.425;32.020;38.830
Andrew County;56.309;50.950;61.668
Atchison County;45.997;41.823;50.171
Audrain County;41.302;38.373;44.231
Barry County;38.139;35.247;41.031
Barton County;37.581;34.361;40.801
Bates County;41.462;38.219;44.705
Benton County;33.236;30.829;35.643
Bollinger County;39.033;35.083;42.983
Boone County;50.305;47.568;53.042
Buchanan County;45.431;42.392;48.470
Butler County;35.774;33.238;38.310
Caldwell County;43.111;39.405;46.817
Callaway County;49.384;45.331;53.437
Camden County;44.410;41.073;47.747
Cape Girardeau County;47.705;44.355;51.055
Carroll County;39.017;34.965;43.069
Carter County;32.170;29.084;35.256
Cass County;60.970;58.929;63.011
Cedar County;33.631;30.178;37.084
Chariton County;43.049;39.969;46.129
Christian County;51.831;49.612;54.050
Clark County;43.298;39.479;47.117
Clay County;61.598;58.909;64.287
